ticker,name,market,sector,sub_industry,market_cap_usd_b,source,company_type,turnaround_flag,universe_role,quality_risk_level,risk_flags,review_reason,recommended_next_action
WYNN,Wynn Resorts Limited,US,Consumer Discretionary,Hotels Restaurants,10.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,KEEP_EXTENDED
MGM,MGM Resorts International,US,Consumer Discretionary,Hotels Restaurants,9.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,KEEP_EXTENDED
BAX,Baxter International Inc.,US,Health Care,Health Care Equipment,9.0,SP500,,Y,EXCLUDE_CANDIDATE,VERY_HIGH,TURNAROUND_RISK;SMALL_CAP_RISK;DATA_LIMITATION;HEALTHCARE_EVENT_RISK,TURNAROUND_IN_PROGRESS; MARKET_CAP_BELOW_THRESHOLD; NO_FINANCIAL_DATA_AVAILABLE; turnaround healthcare row below 10B metadata threshold,EXCLUSION_REVIEW
HSIC,Henry Schein Inc.,US,Health Care,Health Care Providers,8.0,SP500,,N,HIGH_RISK_REVIEW,HIGH,HEALTHCARE_EVENT_RISK,SECTOR_VOLATILITY; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B metadata row needs review before scoring,REVIEW_BEFORE_SCORING
FDS,FactSet Research Systems Inc.,US,Financials,Capital Markets,8.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,KEEP_EXTENDED
ARE,Alexandria Real Estate Equities Inc.,US,Real Estate,Office REITs,8.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,KEEP_EXTENDED
TAP,Molson Coors Beverage Company,US,Consumer Staples,Beverages,8.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,KEEP_EXTENDED
AOS,A. O. Smith Corporation,US,Industrials,Building Products,8.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,KEEP_EXTENDED
BLDR,Builders FirstSource Inc.,US,Industrials,Building Products,8.0,SP500,,N,EXTENDED,MEDIUM,NONE,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B row retained outside core classification,KEEP_EXTENDED
CRL,Charles River Laboratories International Inc.,US,Health Care,Life Sciences Tools,7.0,SP500,,N,HIGH_RISK_REVIEW,HIGH,HEALTHCARE_EVENT_RISK,SECTOR_VOLATILITY; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; sub-10B metadata row needs review before scoring,REVIEW_BEFORE_SCORING
